Zeitraum Start	Zeitraum Ende	OhdAb	Vorkommen	Normvarianten	Zunft	Gewerbe	Kommentare	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20
1400	1700	https://database.factgrid.de/wiki/Item:Q673272	694	metzger;carnifer	Metzger	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q658152	603	rebmann;baumann;rebknecht;rebleute	Rebleuten	Landwirtschaft																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672209	592	schuhmacher	Schuhmacher	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q671445	508	schneider	Schneider	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q683865	392	krämer	Safran	Handel																					
1400	1700	#gremper		gremper	Gartnern	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694255	381	kaplan;Kaplan	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q661668	360	küfer;kübler;weinleger	Spinnwettern	Holz
1400	1700	#weinleger	0	weinleger	Weinleuten	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q690018	338	schaffner;Schaffner;pfleger	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673053	292	brotbäcker	Brotbecken	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q684040	284	gewandmann;tuchmann;watmann	Schlüssel	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q685709	267	wirt	Gartnern	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672966	254	müller;Müller;spitalmüller	Schmieden	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q671902	241	gerber	Gerber	Leder	Weissgerber bei Safran, nur sehr wenige?																				
1400	1700	https://database.factgrid.de/wiki/Item:Q675892	229	zimmermann;zimmerwerkmeister	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q658170	217	weinmann	Weinleuten	Handel	Könnten hiermit Weinhändler gemeint sein?																				
1400	1700	https://database.factgrid.de/wiki/Item:Q665680	216	messerschmied	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q699092	186	goldschmied	Hausgenossen	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q692959	183	barbier;scherer	Goldener Stern	Hygiene																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672375	167	kürschner	Kürschner	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665112	157	schlosser	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672052	148	sattler;reitsattler	Himmel	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694308	147	kirchherr;leuthpriester;pfarrer	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q674754	143	maurer	Spinnwettern	Steine																					
1400	1700	https://database.factgrid.de/wiki/Item:Q682539	143	kaufmann;kauf- und handelsmann;kaufleute	Schlüssel	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q662947	139	buchdrucker;truckerherr	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q661369 https://database.factgrid.de/wiki/Item:Q661466	135	tischmacher	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q657955	120	fischer	Fischern	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665096	119	schmied	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q663907	119	kannengiesser;hafengiesser;kantengiesser;zinngiesser	Hausgenossen	Metall																					
1400	1453	https://database.factgrid.de/wiki/Item:Q670413	117	wollweber;grautucher	Rebleuten	Textil																					
1453	1506	https://database.factgrid.de/wiki/Item:Q670413	117	wollweber;grautucher	Schlüssel	Textil																					
1506	1700	https://database.factgrid.de/wiki/Item:Q670413	117	wollweber;grautucher	Weber	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670454	111	tuchscherer	Schlüssel	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q662991	111	drucker	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q661667	110	wagner	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q660037	109	steinmetz	Spinnwettern	Steine																					
1400	1700	https://database.factgrid.de/wiki/Item:Q662125	109	papierer;Papierer;Papiererknecht	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q683545	107	handelsmann	Schlüssel	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q686078	104	rat	Politisches Amt	Politisches Amt																					
1400	1700	https://database.factgrid.de/wiki/Item:Q657705	101	hufschmied	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q675617	98	maler	Himmel	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q680995	96	schiffmann	Schiffleuten	Verkehr																					
1400	1700	https://database.factgrid.de/wiki/Item:Q690014	95	vogt;Stadtgerichtsvogt	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694275	93	priester	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q657722	91	karrer	Gartnern	Verkehr																					
1400	1700	https://database.factgrid.de/wiki/Item:Q681655	91	bader	Goldener Stern	Hygiene																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670653	87	seiler	Gartnern	?																					
1400	1700	https://database.factgrid.de/wiki/Item:Q658689	87	gärtner	Gartnern	Landwirtschaft																					
